0	 cm	 cm
1	 kg	 kg
2	--	--
3	3×30s; no collapsed backseat.	3 组 × 30 秒，不许塌腰后坐。
4	3×8 squats; Bulgarian split squat 3×6 each side.	双腿深蹲 3×8；保加利亚分腿蹲每侧 3×6。
5	A light pole touch at each edge change, hands kept in front.	每次换刃轻点一次雪杖，双手保持在身前。
6	A metric that could not be measured says so — it is never shown as a zero.	无法测得的指标会如实标注，绝不以 0 分呈现。
7	A wide stance is mechanically correct at this age; stance width is not penalized.	这个年龄段站距偏宽是符合力学的，站距不作扣分。
8	About hip-width; wider usually means you're still in a wedge.	站距约髋宽；过宽说明犁式没收干净。
9	Allow camera	允许相机
10	Also in this module	本模块还包含
11	Analyze the clip first to open the report.	请先完成分析后再查看报告。
12	Analyzing pose…	正在分析姿态…
13	Angulation	折角
14	Any terrain	任意地形
15	Athlete info required	需要运动员信息
16	Athletic stance on land	陆上运动站姿
17	Available	可挑战
18	Avoid	避开
19	Avoid sharp bumps, jumps, and a too-narrow line.	避开尖包、跳台和过窄的线。
20	Back	返回
21	Back seat	后坐
22	Back-seat finishes	出弯后坐
23	Bad skeleton	骨骼差
24	Balance	平衡性
25	Balance on the outside ski before carving.	刻滑前先能把重量放在外侧板上。
26	Banking share	内倒占比
27	Best conditions	最佳雪况
28	Best match	最匹配
29	Best score {score:.0f}	历史最佳 {score:.0f} 分
30	Bilibili	哔哩哔哩
31	Birthday	生日
32	Black	黑道
33	Black run	黑道
34	Black steep	黑色陡坡
35	Blocker	阻断项
36	Blue	蓝道
37	Blue run	蓝道
38	Boot flex band: {low}-{high}	靴硬度范围：{low}-{high}
39	Bounce both skis together in soft snow to feel the snow push back.	在松软雪中两只板一起上下起伏，感受雪面的回弹。
40	Braking at the finish	弯尾刹车
41	Braking turns	刹车式转弯
42	Branch	分支
43	Bump cadence	雪包节奏
44	Camera	拍摄
45	Camera angle	拍摄角度
46	Camera device	摄像头
47	Camera motion	镜头运动
48	Camera motion could not be judged from this clip.	本段无法判断镜头运动。
49	Camera permission required	需要相机权限
50	Camera preview	摄像头预览
51	Camera unavailable	无法使用相机
52	Camera view	拍摄视角
53	Cancel	取消
54	Carve parallel	平行板刻滑
55	Carve points are heuristics, not FIS carving scores.	刻滑要点为经验估分，不是 FIS 刻滑得分。
56	Carving needs body mass to bend the ski; not applicable below age 13.	刻滑需要一定体重才能把雪板压弯；13 岁以下不适用。
57	Category	种类
58	Center of mass not backseat	重心不后坐
59	Check the rental skis still have edges before the first run.	上道前先检查租用雪板的钢边是否还在。
60	Checkpoint radar (scores)	分项雷达（分数）
61	Checkpoints	分项
62	Choose video or image	选择视频或图片
63	Christie stance	半犁站距
64	Clear up-and-down movement in every turn; a static stance sinks the tips.	每个转弯都有明显的上下起伏；站姿僵直会让板头下沉。
65	Click the filmstrip to seek; green diamonds are saved boxes (click to jump). Drag the blue start/end edges to trim. Shift+wheel zooms. Draw a person box — it saves for this frame; draw again on the same frame to replace.	点击胶片跳转；绿色菱形是已记录的框（点击可跳到该帧）。拖蓝色开始/结束边裁剪。Shift+滚轮缩放。在人物上拖框，松手记录到当前帧；同一帧再框选会覆盖该帧。
66	Click left ski tail	点击左板尾
67	Click left ski tip	点击左板头
68	Click right ski tail	点击右板尾
69	Click right ski tip	点击右板头
70	Clip could not be scored	该视频无法评分
71	Clip {lo:.1f}s → {hi:.1f}s ({dur:.1f}s, max {max:.0f}s)	片段 {lo:.1f}s → {hi:.1f}s（{dur:.1f}s，最长 {max:.0f}s）
72	Close the inside ski	出弯收内侧板
73	Coach (from knowledge base)	滑雪教练说明（知识库）
74	Coach heuristics, not FIS judging or medical advice. 2D pose can misread. Pain or prior injury: see a coach or clinician.	滑雪教练经验估分，非 FIS 裁判分，非医疗建议。2D 骨骼会误判。疼痛或旧伤请线下教练/医师。
75	Coach report (heuristics)	教练报告（经验估分）
76	Common misconception	常见误区
77	Completed	已完成
78	Conditions to avoid	应避开的雪况
79	Confidence	置信度
80	Confidence {pct:.0f}% · separation {sep:.2f}	置信度 {pct:.0f}% · 区分度 {sep:.2f}
81	Control	控制力
82	Control speed with turn shape, not by scraping the tails across the fall line.	用转弯弧形控速，而不是把板尾横过落差线搓雪。
83	Coordination	协调性
84	Copy frame locator	复制当前帧定位
85	Corduroy	压雪纹
86	Core metrics	核心指标
87	Could not open the camera.	无法打开摄像头。
88	Could not read video.	无法读取视频。
89	Cross from edge to edge quickly; a ski left flat slides away on hardpack.	两侧立刃之间快速过渡；在硬雪上雪板一放平就会滑走。
90	Crud	杂乱雪
91	Crud, trees and complex terrain	烂雪、树林与复杂地形
92	Cue	口令
93	Current stage	当前级别
94	Deepest flexion in the middle of the arc, not at the finish — no park-and-ride.	最深的蹲屈出现在弧线中段，而不是收弯处——不要立刃后干等。
95	Delete	删除
96	Delete this clip and its local files? This cannot be undone.	删除该条目及本地文件？此操作不可恢复。
97	Diagnostic	参考项
98	Display only: 2D pose does not score air or ski tips. Train with a coach.	仅目录展示：2D 骨骼不评空中与板尖。请线下教练。
99	Display only: boxes, rails, and jumps are not scored.	仅目录展示：箱、杆、跳台不自动打分。
100	Display only: boxes, rails, and jumps with a coach; the app does not score them.	仅目录展示：箱、杆、跳台需教练指导；本 App 不评分。
101	Display only: this app does not time gates.	仅目录展示：本 App 不做旗门计时。
102	Display only: v2 video does not classify switch.	仅目录展示：v2 视频不自动判定倒滑。
103	Distances are normalized to this skier's leg length.	距离按本人腿长归一化。
104	Do not spin the shoulders with the skis.	肩不要跟着板狂转。
105	Don't land or absorb with locked, straight legs.	不要用锁死的直腿落地或缓冲。
106	Done	完成
107	Dose	训练量
108	Double black	双黑道
109	Double black run	双黑道
110	Download	下载
111	Draw a person box before confirming.	请拖出一个人物框后再确定。
112	Drills	训练
113	Dryland / flat	陆地平坦场地
114	Dynamic parallel: rhythm and poles	动态平行式：节奏与用杖
115	Early edge on firm snow	硬雪提早立刃
116	Easy slope, parallel or wedge: tap the downhill pole each turn.	缓坡平行或犁式，每弯轻点山下杖。
117	Edge angle (proxy)	刃角（估算）
118	Edge changes faster than long-radius.	换刃快于大弯。
119	Edge release and re-set	放平立刃再立起
120	Edge-change time	换刃用时
121	Edging and steering	立刃与导向
122	Effective frame rate	有效帧率
123	Effective {fps:.1f} fps	有效帧率 {fps:.1f} fps
124	Eight each side; if speed builds, reset to a traverse before stopping.	每侧 8 次；速度一起来先回到斜滑再刹。
125	Eight medium turns on the same pitch; cadence between long and short.	同一坡面 8 个中弯，频率高于大弯、低于小弯。
126	Eight straight lines over round, shallow bumps.	选圆而浅的包沿沟直滑 8 次。
127	Eight turns on green or blue; match the inside ski only in the last third of the turn.	绿/蓝道做 8 个弯，只在出弯后三分之一并内侧板。
128	Elastic knees and ankles; not locked.	膝踝有弹性，不锁直。
129	Enter name, height, weight, and ski length, or pick a saved profile.	请填写姓名、身高、体重和雪板长度，或选择已存档案。
130	Equipment	装备
131	Equipment guidance is a starting range from height and weight, not a boot fitting.	装备建议是依据身高体重给出的起始范围，不能替代专业量脚定制。
132	Even turn rhythm	转弯节奏均匀
