0	Flatten both skis to slip sideways, then edge again to stop — neither a locked edge nor a free slide.	把两只板放平向侧下方滑，再立刃停住——既不是锁死立刃，也不是失控下滑。
1	Flex and extend to surface the skis	靠蹲伸让雪板浮起
2	Flex for rhythm	膝屈伸给节奏
3	Flex into the turn	入弯降重心
4	Flex-and-extend rhythm	蹲伸节奏练习
5	Follow	跟拍
6	Follow camera	跟拍机位
7	Follow-cam; one alpine skier in frame.	跟拍手机，画面尽量只框一名双板滑者。
8	For your profile	针对你的情况
9	Format	格式
10	Four posture scores are coach heuristics (0–100), not lab biomechanics; they are not true speed, meter turn radius, or peak ski pressure.	姿态四维为教练经验估分评分（0–100），非实验室生物力学测量；不含真实滑行速度、转弯半径米制或板底峰值压力。
11	Frame locator JSON copied	已复制帧定位 JSON
12	From a gentle traverse, pivot both skis across the hill and set the edges to a stop.	从缓坡斜滑降开始，双板同时横切并立刃停下。
13	From a traverse, pressure the outside ski through a small C, then switch sides.	斜滑降开始，外侧加压划小 C，再换另一侧。
14	From the skid branch: absorb and stay on snow; do not jump.	从搓雪枝进入：先吸收贴雪，不要跳。
15	Front view	正面视角
16	Frontal	正面
17	Gate	关键项
18	Gate metrics decide advancement; the rest are diagnostic.	关键项决定能否升级，其余为参考项。
19	Gates passed	已通过关键项
20	Gender	性别
21	Gentle-slope wedge brake	缓坡犁式制动
22	Glide straight in a wedge and stop on purpose.	用犁式板形直线下山并主动停下。
23	Goal	目标
24	Grant camera access to run pose tracking.	请允许相机权限以进行姿态跟踪。
25	Green	绿道
26	Green run	绿道
27	Groomed-run recreational alpine	平整雪道大众滑行
28	Hands in view	双手在身前
29	Hands low	手低
30	Hard rule	硬性规则
31	Hardpack	硬雪
32	Height	身高
33	Heuristic inclination and parallel stance, not FIS. Learn one-ski first.	经验估分内倾与平行，非 FIS。最好先掌握单脚滑。
34	Heuristic score (0-100, not FIS)	经验评分（0-100，非 FIS）
35	Heuristic: steer with the legs — rotate the femurs so the ski tips turn while the torso stays quiet.	经验提示：用腿转向——髋内旋带动板头转向，上身保持安静。
36	Higher cadence without losing inclination.	频率升高仍保持内倾。
37	Hip internal-rotation steering	髋内旋导向
38	Hips or ankles are missing in much of the clip.	本段大部分画面缺少髋或踝关键点。
39	Hips over the feet	髋在脚上方
40	Hips over the feet; pressure into the ski.	髋在脚上方，压力送到板刃。
41	Hockey stop	冰球刹
42	Hockey-stop capacity	冰球刹能力
43	Hold a clean edge on hardpack: edge early, change edges quickly, no braking scrape.	在硬雪或冰面上保持干净的立刃：提早立刃、换刃迅速、不靠搓雪刹车。
44	How to advance	如何进入下一阶段
45	How to film	拍摄说明
46	Ice	冰面
47	Ideal terrain	理想地形
48	If not advancing, train toward	若未进阶，按下述目标训练
49	Import	导入
50	Import failed	导入失败
51	Import…	导入…
52	In	入点
53	In {lo:.1f}s → out {hi:.1f}s (logical, original file unchanged)	入点 {lo:.1f}s → 出点 {hi:.1f}s（逻辑裁剪，不改原文件）
54	Inclination	内倾
55	Inclination into the turn	向弯心内倾
56	Indoors or flat ground for stance and single-leg strength.	室内或平地，练站姿和单腿力量。
57	Injury risk	受伤风险
58	JPEG (*.jpg)	JPEG (*.jpg)
59	Keep pole tips low and hands in front of the body, about waist to mid-torso, to time left–right turns.	杖尖放低，手在身前约腰至胸中，给左右转弯节拍。
60	Keep the arc round with both skis working; do not throw the skis sideways.	保持弧形圆顺、两只板一起工作；不要把雪板横甩出去。
61	Keep the camera steady — shaky or wild motion prevents a reliable stage assessment.	保持镜头稳定——剧烈晃动会导致阶段无法可靠判定。
62	Key points	动作要点
63	Knee absorption travel	缓冲幅度
64	Knee flex cadence matches the bumps.	膝屈伸节奏与雪包合拍。
65	Knee flex range	膝屈伸幅度
66	Knee flex rate	膝屈伸频率
67	Knee tracking	膝走向
68	Knees track	膝不内扣
69	Knees track over the toes; don't let the knees collapse inward.	膝沿脚尖方向；不要让膝盖向内塌。
70	Landmark quality	关节点质量
71	Landmark quality {pct:.0f}%	关节点质量 {pct:.0f}%
72	Language	语言
73	Large knee travel; stay on snow rather than jumping.	膝屈振幅大，贴雪而不是跳。
74	Left	左
75	Left {left} · right {right}	左 {left} · 右 {right}
76	Leading candidate	领先候选
77	Left-right asymmetry	左右不对称
78	Left-right turns, not a straight schuss.	有左右转向，不是一条直线冲坡。
79	Legs and hips steer; do not use the shoulders as a steering wheel.	用腿和髋改变板向，肩不要当方向盘。
80	Legs move; the torso stays quieter.	腿动、上身相对安静。
81	Let the legs do the work.	让腿做功。
82	Label skis	标注雪板
83	Optional: use Label skis on key frames before Start analysis.	可选：在「开始分析」前，用「标注雪板」在关键帧上标左右板头板尾。
84	Like	Like
85	Likely cause	可能原因
86	Link bumps near the fall line with less traversing.	少横切，沿落差线连贯过包。
87	Linked absorption near the fall line. No air score.	少横切的连续吸收。不评空中。
88	Linked parallel turns with an even rhythm, a flex-and-extend move, and a pole touch at every edge change.	连贯的平行式转弯：节奏均匀、蹲伸配合，每次换刃点一次雪杖。
89	Linked short skids on parallel skis; mixed edge and skid is acceptable.	平行板快速左右转换控速，允许刃搓混合。
90	Linked turns	连续转向
91	Locked	未解锁
92	Locked because	未解锁原因
93	Long-radius carve	大弯刻滑
94	Look downhill	视线看山下
95	Looks like	看起来像
96	Low hands and pole rhythm	手低点杖节奏
97	MM/dd/yyyy	yyyy/MM/dd
98	MP4 (*.mp4)	MP4 (*.mp4)
99	Male	男
100	Mark in	入点
101	Mark out	出点
102	Match {fit:.0f}% · gates {gate:.0f}% · prior {prior:.0f}%	吻合度 {fit:.0f}% · 关键项 {gate:.0f}% · 先验 {prior:.0f}%
103	Matched skis and separation. After passing, choose short skids or long-radius carve.	双板平行，上下分离。过关后可选搓雪或刻滑大弯。
104	Mean stance between a full wedge and parallel.	平均站距介于大犁与平行之间。
105	Mean turn {sec:.2f}s	平均每弯 {sec:.2f} 秒
106	Measured	实测
107	Media (*.mp4 *.mov *.avi *.mkv *.webm *.jpg *.jpeg *.png *.webp *.bmp)	Media (*.mp4 *.mov *.avi *.mkv *.webm *.jpg *.jpeg *.png *.webp *.bmp)
108	Medium-radius carve	中弯刻滑
109	Medium-radius edge change	中弯换刃
110	Medium-turn cadence	中弯频率
111	Missing	缺少
112	Missing model {path}. Run: python scripts/download_pose_landmarker.py	缺少模型 {path}。请先运行：python scripts/download_pose_landmarker.py
113	Moderate groomed blue run; for parallel, skids, and long-radius carve.	中等平整蓝道；适合平行、搓雪与大弯刻滑。
114	Mogul	雪包
115	Mogul absorption	雪包滑行（吸收）
116	Mogul fall-line	雪包落差线
117	Mogul field	雪包区
118	Mogul skiing	雪包滑行
119	Moguls	雪包
120	Most turns finish with a shaped arc; a slip to recover is fine, a slipped descent is not.	多数转弯要走出弧形；偶尔侧滑找回节奏可以，一路横滑下坡不行。
121	Name	姓名
122	Needs a scene fact	需补充场地信息
123	Needs a scene fact before it can be detected.	需要补充场地信息才能自动识别。
124	Needs the {name} checkpoint	需先通过“{name}”要点
125	Needs work	需改进
126	Needs {name} first	需先过{name}
127	Never ski off-piste alone; avoid avalanche terrain and sidecountry, and keep a partner in sight.	不要独自滑野雪；避开雪崩地形与界外区域，始终与同伴保持在视线内。
128	New profile	新建档案
129	Next stage	下一阶段
130	Next stage: {names}	下一阶段：{names}
131	Next steps	下一步
132	No box	未框选
133	No braking scrape	不靠搓雪刹车
134	No camera found. On the emulator, use a virtual scene or webcam.	未找到相机。模拟器请启用虚拟场景或电脑摄像头。
135	No linked turns were detected in this clip.	本段没有检测到连续转弯。
136	No linked turns were detected, so turn-by-turn checkpoints are not scored. Film several linked turns.	未检测到连续转弯，逐弯要点不评分。请拍几个连续转弯。
137	No pose	未检测到姿态
138	No preview	无预览
139	No stage report yet. Analyze a clip offline first.	暂无阶段报告。请先离线分析视频。
140	No terrain suggestion at this stage; use the runs you already ski well.	本阶段不指定地形；在你已经滑得好的雪道上练。
141	No turns were segmented in this clip.	这段视频没有切分出完整的转弯。
142	Non-slip floor; a handhold nearby helps.	防滑地面，旁边有扶手更好。
143	Not applicable	不适用
144	Not applicable at this age.	该年龄段不适用。
145	Not judged from a clip	视频无法判定
146	Not measured	未测得
147	Not measured in this clip.	本段未测到。
148	Not passed — train the lowest-scoring checkpoint.	尚未过关：按得分最低的要点训练。
149	Not rated	未评级
150	Not set	未填写
151	Not sure	不确定
152	Not yet	未达标
153	Note	提示
154	Nothing could be measured for this stage in this clip; re-film before training to a number.	本段测不出该阶段的任何指标；请先重拍，再按数据训练。
155	OK	确定
156	Off-piste	野雪
157	Off-piste (inside the resort boundary)	野雪（雪场界内）
158	Off-piste and soft snow	野雪与松软雪
159	Ollie	豚跳
160	On a green run, stand across the hill, flatten both skis to slip, then edge to stop; ten repeats each way.	在初级道上横向站好，放平两只板开始侧滑，再立刃停住；每侧十次。
161	On a short steep section, pivot-slip eight times; link short turns only once the upper body stays quiet.	在一小段陡坡上做八次转板侧滑；只有上身保持安静后再连成小回转。
162	On land: athletic stance, rotate the femurs to turn the toes, keep the shoulders still.	陆上模拟：微屈站，左右髋内旋带动脚尖，肩不动。
163	One cell per turn along the clip. Flagged turns are highlighted; click a turn to jump to it.	按时间顺序每个方块代表一个弯，标记出的是有问题的弯；点击方块可跳转到该弯。
164	One-ski / outside-leg drill	单脚滑 / 外侧腿
165	Only try boxes, rails, or jumps with a coach, a helmet, and a supervised park.	只在有教练、戴头盔且受监管的公园尝试箱、杆或跳台。
166	Only {count} turns were detected; film at least 8 linked turns for a rhythm score.	只检测到 {count} 个转弯；要评节奏请拍至少 8 个连续转弯。
167	Open the report on the player page to jump to this frame.	请在播放页打开报告以跳到该帧。
168	Open the tails and edge to a stop; do not sit down.	推开板尾并立刃急停；不要一屁股坐下。
169	Open then close	入弯犁出弯收
170	Ordered for your weakest metric first: {metric}	已按你最弱的指标优先排序：{metric}
171	Other	其他
172	Out	出点
173	Out point must be after in point.	出点必须晚于入点。
174	Outside-ski center of mass	换外侧重心
175	Packed	压实雪
176	Packed powder	压实粉雪
177	Panning	摇镜
178	Panning camera	摇摄机位
179	Parallel skiing	平行式滑雪
180	Parallel stance	平行板距
181	Parallel-ski emergency stop; required braking skill before short skidded turns.	平行板急停；进入搓雪小弯前的必过刹车技能。
182	Park	公园
183	Park / jumps	公园/跳台
184	Park skiing	公园滑行
185	Pass	通过
186	Passed this level. Choose a next level on the skill tree.	已过关，可选下一阶段（技能树分叉）。
187	Pause	暂停
188	Pending	待定
189	Pick a branch, film your own skiing, and run your own practice cycle.	选定一个方向，拍摄自己的滑行，建立自己的训练循环。
190	Pick the gentlest pitch; avoid ice and crowded runouts.	选最缓的坡，避开冰面和拥挤出口。
191	Piste	雪道
192	Pivot both skis under a quiet upper body, slip a short distance, then pivot back.	在安静的上身下方把两只板转过来，短距离侧滑后再转回去。
193	Pivot-slip on a steep pitch	陡坡原地转板侧滑
194	Play	播放
195	Pole touch every turn	每个转弯点一次雪杖
196	Pole touch per turn	每弯点杖
197	Pole touch timing	点杖时机
198	Poles and hands	雪杖与手位
199	Poses: {count}	姿态：{count}
200	Possible stage	可能级别
201	Possible stage — confidence is below the gate, so both candidates are shown.	可能级别——置信度低于门槛，因此同时列出两个候选级别。
202	Powder	粉雪
203	Powder and soft snow	粉雪与松软雪
204	Practice inclination on blue before moving to red; drop to an easier pitch when form fades.	先在蓝道练内倾再上红道；动作变形时降到更缓的坡。
205	Prefer fewer people and softer snow; shallower turns on ice.	人少、雪软一点更好；冰面减小弯深。
206	Pressure peak in the turn	压力峰值位置
207	Pressure peaks in the shaping phase	压力峰值出现在转弯中段
208	Problem frame	问题帧
209	Processing	处理中
210	Profile	正侧面
211	Profile view	侧面视角
212	Progression rung — not judged from a clip.	进阶阶梯中的一环，视频无法判定。
213	Purpose	目的
214	Put the gear on, walk on the flat, glide a few metres, and get up after a fall.	穿好装备，在平地上行走，滑出几米，摔倒后能自己站起来。
215	Quarter	斜侧面
216	Quick edge change on firm snow	硬雪上迅速换刃
217	Quick left-right; no long traverse.	快速左右转换，不要长横切。
218	Quiet shoulders	肩静
219	Quiet upper body	上身静
220	Quiet, easy green run — master the wedge stop first.	安静缓坡绿道——先掌握犁式制动。
221	Race	竞速
222	Race gates	竞技旗门
223	Re-film	请重拍
224	Re-film this stage so its checkpoints can be measured.	请重拍本阶段，以便测量各项要点。
225	Reach the standard on {name} to advance.	{name}达到标准即可进阶。
226	Reach the standard on {name}, then move to {next}.	{name}达到标准后，再进入{next}。
227	Read the terrain and pick a line in crud, cut-up snow and gladed trees. Inside the resort boundary only.	在烂雪、被翻过的雪面和林间稀疏树区里读地形、选线路。仅限雪场界内。
228	Reanalyze	重新分析
229	Reason	原因
230	Record	录制
231	Record at least one person box.	请至少记录一帧人物框。
232	Record box	记录此帧
233	Recorded boxes	已记录的框
